year,age_group,ukborn,pulmextrapulm,type,policy_change,incidence
2e3,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,10-14,UK Born,Extra-pulmonary only,fitted,Universal,32
2e3,10-14,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,10-14,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,10-14,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,10-14,UK Born,"Pulmonary, with or without EP",fitted,Universal,43
2e3,10-14,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,10-14,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,10-14,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,10-14,NA,Extra-pulmonary only,fitted,Universal,6
2e3,10-14,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,10-14,NA,Extra-pulmonary only,observed,Universal,0
2e3,10-14,NA,Extra-pulmonary only,observed,Targeted,0
2e3,10-14,NA,"Pulmonary, with or without EP",fitted,Universal,12
2e3,10-14,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,10-14,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,10-14,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,15-19,Non-UK Born,Extra-pulmonary only,fitted,Universal,57
2e3,15-19,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,15-19,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,15-19,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,92
2e3,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,15-19,UK Born,Extra-pulmonary only,fitted,Universal,34
2e3,15-19,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,15-19,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,15-19,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,15-19,UK Born,"Pulmonary, with or without EP",fitted,Universal,78
2e3,15-19,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,15-19,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,15-19,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,15-19,NA,Extra-pulmonary only,fitted,Universal,15
2e3,15-19,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,15-19,NA,Extra-pulmonary only,observed,Universal,0
2e3,15-19,NA,Extra-pulmonary only,observed,Targeted,0
2e3,15-19,NA,"Pulmonary, with or without EP",fitted,Universal,28
2e3,15-19,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,15-19,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,15-19,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,20-24,Non-UK Born,Extra-pulmonary only,fitted,Universal,153
2e3,20-24,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,20-24,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,20-24,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,216
2e3,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,20-24,UK Born,Extra-pulmonary only,fitted,Universal,46
2e3,20-24,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,20-24,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,20-24,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,20-24,UK Born,"Pulmonary, with or without EP",fitted,Universal,87
2e3,20-24,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,20-24,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,20-24,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,20-24,NA,Extra-pulmonary only,fitted,Universal,26
2e3,20-24,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,20-24,NA,Extra-pulmonary only,observed,Universal,0
2e3,20-24,NA,Extra-pulmonary only,observed,Targeted,0
2e3,20-24,NA,"Pulmonary, with or without EP",fitted,Universal,44
2e3,20-24,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,20-24,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,20-24,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,25-29,Non-UK Born,Extra-pulmonary only,fitted,Universal,273
2e3,25-29,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,25-29,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,25-29,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,260
2e3,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,25-29,UK Born,Extra-pulmonary only,fitted,Universal,41
2e3,25-29,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,25-29,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,25-29,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,25-29,UK Born,"Pulmonary, with or without EP",fitted,Universal,75
2e3,25-29,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,25-29,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,25-29,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,25-29,NA,Extra-pulmonary only,fitted,Universal,34
2e3,25-29,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,25-29,NA,Extra-pulmonary only,observed,Universal,0
2e3,25-29,NA,Extra-pulmonary only,observed,Targeted,0
2e3,25-29,NA,"Pulmonary, with or without EP",fitted,Universal,46
2e3,25-29,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,25-29,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,25-29,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,30-34,Non-UK Born,Extra-pulmonary only,fitted,Universal,252
2e3,30-34,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,30-34,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,30-34,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,245
2e3,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,30-34,UK Born,Extra-pulmonary only,fitted,Universal,58
2e3,30-34,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,30-34,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,30-34,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,30-34,UK Born,"Pulmonary, with or without EP",fitted,Universal,89
2e3,30-34,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,30-34,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,30-34,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,30-34,NA,Extra-pulmonary only,fitted,Universal,34
2e3,30-34,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,30-34,NA,Extra-pulmonary only,observed,Universal,0
2e3,30-34,NA,Extra-pulmonary only,observed,Targeted,0
2e3,30-34,NA,"Pulmonary, with or without EP",fitted,Universal,43
2e3,30-34,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,30-34,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,30-34,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,35-39,Non-UK Born,Extra-pulmonary only,fitted,Universal,162
2e3,35-39,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,35-39,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,35-39,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,131
2e3,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,35-39,UK Born,Extra-pulmonary only,fitted,Universal,27
2e3,35-39,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,35-39,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,35-39,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,35-39,UK Born,"Pulmonary, with or without EP",fitted,Universal,72
2e3,35-39,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,35-39,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,35-39,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,35-39,NA,Extra-pulmonary only,fitted,Universal,31
2e3,35-39,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,35-39,NA,Extra-pulmonary only,observed,Universal,0
2e3,35-39,NA,Extra-pulmonary only,observed,Targeted,0
2e3,35-39,NA,"Pulmonary, with or without EP",fitted,Universal,47
2e3,35-39,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,35-39,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,35-39,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,40-44,Non-UK Born,Extra-pulmonary only,fitted,Universal,166
2e3,40-44,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,40-44,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,40-44,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,110
2e3,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,40-44,UK Born,Extra-pulmonary only,fitted,Universal,16
2e3,40-44,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,40-44,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,40-44,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,40-44,UK Born,"Pulmonary, with or without EP",fitted,Universal,67
2e3,40-44,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,40-44,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,40-44,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,40-44,NA,Extra-pulmonary only,fitted,Universal,25
2e3,40-44,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,40-44,NA,Extra-pulmonary only,observed,Universal,0
2e3,40-44,NA,Extra-pulmonary only,observed,Targeted,0
2e3,40-44,NA,"Pulmonary, with or without EP",fitted,Universal,31
2e3,40-44,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,40-44,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,40-44,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,45-49,Non-UK Born,Extra-pulmonary only,fitted,Universal,117
2e3,45-49,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,45-49,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,45-49,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,84
2e3,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,45-49,UK Born,Extra-pulmonary only,fitted,Universal,16
2e3,45-49,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,45-49,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,45-49,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,45-49,UK Born,"Pulmonary, with or without EP",fitted,Universal,89
2e3,45-49,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,45-49,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,45-49,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,45-49,NA,Extra-pulmonary only,fitted,Universal,24
2e3,45-49,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,45-49,NA,Extra-pulmonary only,observed,Universal,0
2e3,45-49,NA,Extra-pulmonary only,observed,Targeted,0
2e3,45-49,NA,"Pulmonary, with or without EP",fitted,Universal,31
2e3,45-49,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,45-49,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,45-49,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,50-69,Non-UK Born,Extra-pulmonary only,fitted,Universal,330
2e3,50-69,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,50-69,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,50-69,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,330
2e3,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,50-69,UK Born,Extra-pulmonary only,fitted,Universal,87
2e3,50-69,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,50-69,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,50-69,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,50-69,UK Born,"Pulmonary, with or without EP",fitted,Universal,341
2e3,50-69,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,50-69,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,50-69,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,50-69,NA,Extra-pulmonary only,fitted,Universal,77
2e3,50-69,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,50-69,NA,Extra-pulmonary only,observed,Universal,0
2e3,50-69,NA,Extra-pulmonary only,observed,Targeted,0
2e3,50-69,NA,"Pulmonary, with or without EP",fitted,Universal,146
2e3,50-69,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,50-69,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,50-69,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,70-89,Non-UK Born,Extra-pulmonary only,fitted,Universal,95
2e3,70-89,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,70-89,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,70-89,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,154
2e3,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,70-89,UK Born,Extra-pulmonary only,fitted,Universal,71
2e3,70-89,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,70-89,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,70-89,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,70-89,UK Born,"Pulmonary, with or without EP",fitted,Universal,299
2e3,70-89,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,70-89,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,70-89,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,70-89,UK Born,NA,fitted,Universal,1
2e3,70-89,UK Born,NA,fitted,Targeted,0
2e3,70-89,UK Born,NA,observed,Universal,0
2e3,70-89,UK Born,NA,observed,Targeted,0
2e3,70-89,NA,Extra-pulmonary only,fitted,Universal,35
2e3,70-89,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,70-89,NA,Extra-pulmonary only,observed,Universal,0
2e3,70-89,NA,Extra-pulmonary only,observed,Targeted,0
2e3,70-89,NA,"Pulmonary, with or without EP",fitted,Universal,116
2e3,70-89,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,70-89,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,70-89,NA,"Pulmonary, with or without EP",observed,Targeted,0
2001,0-4,Non-UK Born,Extra-pulmonary only,fitted,Universal,1
2001,0-4,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,0-4,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2001,0-4,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2001,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,16
2001,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,0-4,UK Born,Extra-pulmonary only,fitted,Universal,46
2001,0-4,UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,0-4,UK Born,Extra-pulmonary only,observed,Universal,0
2001,0-4,UK Born,Extra-pulmonary only,observed,Targeted,0
2001,0-4,UK Born,"Pulmonary, with or without EP",fitted,Universal,67
2001,0-4,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,0-4,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,0-4,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,0-4,NA,Extra-pulmonary only,fitted,Universal,3
2001,0-4,NA,Extra-pulmonary only,fitted,Targeted,0
2001,0-4,NA,Extra-pulmonary only,observed,Universal,0
2001,0-4,NA,Extra-pulmonary only,observed,Targeted,0
2001,0-4,NA,"Pulmonary, with or without EP",fitted,Universal,3
2001,0-4,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2001,0-4,NA,"Pulmonary, with or without EP",observed,Universal,0
2001,0-4,NA,"Pulmonary, with or without EP",observed,Targeted,0
2001,5-9,Non-UK Born,Extra-pulmonary only,fitted,Universal,14
2001,5-9,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,5-9,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2001,5-9,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2001,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,19
2001,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,5-9,UK Born,Extra-pulmonary only,fitted,Universal,29
2001,5-9,UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,5-9,UK Born,Extra-pulmonary only,observed,Universal,0
2001,5-9,UK Born,Extra-pulmonary only,observed,Targeted,0
2001,5-9,UK Born,"Pulmonary, with or without EP",fitted,Universal,36
2001,5-9,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,5-9,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,5-9,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,5-9,NA,Extra-pulmonary only,fitted,Universal,5
2001,5-9,NA,Extra-pulmonary only,fitted,Targeted,0
2001,5-9,NA,Extra-pulmonary only,observed,Universal,0
2001,5-9,NA,Extra-pulmonary only,observed,Targeted,0
2001,5-9,NA,"Pulmonary, with or without EP",fitted,Universal,8
2001,5-9,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2001,5-9,NA,"Pulmonary, with or without EP",observed,Universal,0
2001,5-9,NA,"Pulmonary, with or without EP",observed,Targeted,0
2001,10-14,Non-UK Born,Extra-pulmonary only,fitted,Universal,16
2001,10-14,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,10-14,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2001,10-14,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2001,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,38
2001,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,10-14,UK Born,Extra-pulmonary only,fitted,Universal,28
2001,10-14,UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,10-14,UK Born,Extra-pulmonary only,observed,Universal,0
2001,10-14,UK Born,Extra-pulmonary only,observed,Targeted,0
2001,10-14,UK Born,"Pulmonary, with or without EP",fitted,Universal,23
2001,10-14,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,10-14,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,10-14,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,10-14,NA,Extra-pulmonary only,fitted,Universal,29
2001,10-14,NA,Extra-pulmonary only,fitted,Targeted,0
2001,10-14,NA,Extra-pulmonary only,observed,Universal,0
2001,10-14,NA,Extra-pulmonary only,observed,Targeted,0
2001,10-14,NA,"Pulmonary, with or without EP",fitted,Universal,27
2001,10-14,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2001,10-14,NA,"Pulmonary, with or without EP",observed,Universal,0
2001,10-14,NA,"Pulmonary, with or without EP",observed,Targeted,0
2001,15-19,Non-UK Born,Extra-pulmonary only,fitted,Universal,67
2001,15-19,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,15-19,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2001,15-19,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2001,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,89
2001,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,15-19,UK Born,Extra-pulmonary only,fitted,Universal,34
2001,15-19,UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,15-19,UK Born,Extra-pulmonary only,observed,Universal,0
2001,15-19,UK Born,Extra-pulmonary only,observed,Targeted,0
2001,15-19,UK Born,"Pulmonary, with or without EP",fitted,Universal,96
2001,15-19,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2001,15-19,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2001,15-19,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2001,15-19,NA,Extra-pulmonary only,fitted,Universal,41
2001,15-19,NA,Extra-pulmonary only,fitted,Targeted,0
2001,15-19,NA,Extra-pulmonary only,observed,Universal,0
2001,15-19,NA,Extra-pulmonary only,observed,Targeted,0
2001,15-19,NA,"Pulmonary, with or without EP",fitted,Universal,35
2001,15-19,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2001,15-19,NA,"Pulmonary, with or without EP",observed,Universal,0
2001,15-19,NA,"Pulmonary, with or without EP",observed,Targeted,0
2001,20-24,Non-UK Born,Extra-pulmonary only,fitted,Universal,158
2001,20-24,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2001,20-24,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2001,20-24,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
